"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008","Spain","Total","Percentage of active population","Total","11.3",""
"2008","Spain","Less than 25 years","Thousand persons","Total","594",""
"2008","Spain","Less than 25 years","Percentage of total population","Total","11.7",""
"2008","Spain","Less than 25 years","Percentage of active population","Total","24.5",""
"2008","France","Total","Thousand persons","Total","2,121",""
"2008","France","Total","Percentage of total population","Total","4.4",""
"2008","France","Total","Percentage of active population","Total","7.4",""
"2008","France","Less than 25 years","Thousand persons","Total","560",""
"2008","France","Less than 25 years","Percentage of total population","Total","7.1",""
"2008","France","Less than 25 years","Percentage of active population","Total","19.0",""
"2008","Croatia","Total","Thousand persons","Total","165",""
"2008","Croatia","Total","Percentage of total population","Total","5.0",""
"2008","Croatia","Total","Percentage of active population","Total","8.6",""
"2008","Croatia","Less than 25 years","Thousand persons","Total","46",""
"2008","Croatia","Less than 25 years","Percentage of total population","Total","8.7",""
"2008","Croatia","Less than 25 years","Percentage of active population","Total","23.7",""
"2008","Italy","Total","Thousand persons","Total","1,664",""
"2008","Italy","Total","Percentage of total population","Total","3.7",""
"2008","Italy","Total","Percentage of active population","Total","6.7",""
"2008","Italy","Less than 25 years","Thousand persons","Total","388",""
"2008","Italy","Less than 25 years","Percentage of total population","Total","6.5",""
"2008","Italy","Less than 25 years","Percentage of active population","Total","21.2",""
"2008","Cyprus","Total","Thousand persons","Total","15",""
"2008","Cyprus","Total","Percentage of total population","Total","2.5",""
"2008","Cyprus","Total","Percentage of active population","Total","3.7",""
"2008","Cyprus","Less than 25 years","Thousand persons","Total","4",""
"2008","Cyprus","Less than 25 years","Percentage of total population","Total","3.8",""
"2008","Cyprus","Less than 25 years","Percentage of active population","Total","9.0",""
"2008","Latvia","Total","Thousand persons","Total","88",""
"2008","Latvia","Total","Percentage of total population","Total","5.2",""
"2008","Latvia","Total","Percentage of active population","Total","7.7",""
"2008","Latvia","Less than 25 years","Thousand persons","Total","19",""
"2008","Latvia","Less than 25 years","Percentage of total population","Total","5.8",""
"2008","Latvia","Less than 25 years","Percentage of active population","Total","13.6",""
"2008","Lithuania","Total","Thousand persons","Total","88",""
"2008","Lithuania","Total","Percentage of total population","Total","3.6",""
"2008","Lithuania","Total","Percentage of active population","Total","5.8",""
"2008","Lithuania","Less than 25 years","Thousand persons","Total","19",""
"2008","Lithuania","Less than 25 years","Percentage of total population","Total","4.0",""
"2008","Lithuania","Less than 25 years","Percentage of active population","Total","13.3",""
"2008","Luxembourg","Total","Thousand persons","Total","10",""
"2008","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2008","Luxembourg","Total","Percentage of active population","Total","4.9",""
"2008","Luxembourg","Less than 25 years","Thousand persons","Total","3",""
"2008","Luxembourg","Less than 25 years","Percentage of total population","Total","5.2",""
"2008","Luxembourg","Less than 25 years","Percentage of active population","Total","17.3",""
"2008","Hungary","Total","Thousand persons","Total","326","i"
"2008","Hungary","Total","Percentage of total population","Total","4.2","i"
"2008","Hungary","Total","Percentage of active population","Total","7.8","i"
"2008","Hungary","Less than 25 years","Thousand persons","Total","60","i"
"2008","Hungary","Less than 25 years","Percentage of total population","Total","4.9","i"
"2008","Hungary","Less than 25 years","Percentage of active population","Total","19.5","i"
"2008","Malta","Total","Thousand persons","Total","10",""
"2008","Malta","Total","Percentage of total population","Total","3.2",""
"2008","Malta","Total","Percentage of active population","Total","6.0",""
"2008","Malta","Less than 25 years","Thousand persons","Total","3",""
"2008","Malta","Less than 25 years","Percentage of total population","Total","6.1",""
"2008","Malta","Less than 25 years","Percentage of active population","Total","11.7",""
"2008","Netherlands","Total","Thousand persons","Total","318",""
"2008","Netherlands","Total","Percentage of total population","Total","2.0",""
"2008","Netherlands","Total","Percentage of active population","Total","3.7",""
"2008","Netherlands","Less than 25 years","Thousand persons","Total","119",""
"2008","Netherlands","Less than 25 years","Percentage of total population","Total","3.9",""
"2008","Netherlands","Less than 25 years","Percentage of active population","Total","8.6",""
"2008","Austria","Total","Thousand persons","Total","172",""
"2008","Austria","Total","Percentage of total population","Total","2.7",""
"2008","Austria","Total","Percentage of active population","Total","4.1",""
"2008","Austria","Less than 25 years","Thousand persons","Total","50",""
"2008","Austria","Less than 25 years","Percentage of total population","Total","5.1",""
"2008","Austria","Less than 25 years","Percentage of active population","Total","8.5",""
"2008","Poland","Total","Thousand persons","Total","1,165",""
"2008","Poland","Total","Percentage of total population","Total","4.1",""
"2008","Poland","Total","Percentage of active population","Total","7.1",""
"2008","Poland","Less than 25 years","Thousand persons","Total","305",""
"2008","Poland","Less than 25 years","Percentage of total population","Total","5.7",""
"2008","Poland","Less than 25 years","Percentage of active population","Total","17.2",""
"2008","Portugal","Total","Thousand persons","Total","476",""
"2008","Portugal","Total","Percentage of total population","Total","5.7",""
"2008","Portugal","Total","Percentage of active population","Total","8.8",""
"2008","Portugal","Less than 25 years","Thousand persons","Total","113",""
"2008","Portugal","Less than 25 years","Percentage of total population","Total","8.5",""
"2008","Portugal","Less than 25 years","Percentage of active population","Total","21.6",""
"2008","Romania","Total","Thousand persons","Total","549",""
"2008","Romania","Total","Percentage of total population","Total","3.4",""
"2008","Romania","Total","Percentage of active population","Total","5.6",""
"2008","Romania","Less than 25 years","Thousand persons","Total","164",""
"2008","Romania","Less than 25 years","Percentage of total population","Total","5.7",""
"2008","Romania","Less than 25 years","Percentage of active population","Total","17.6",""
"2008","Slovenia","Total","Thousand persons","Total","46",""
"2008","Slovenia","Total","Percentage of total population","Total","2.8",""
"2008","Slovenia","Total","Percentage of active population","Total","4.4",""
"2008","Slovenia","Less than 25 years","Thousand persons","Total","11",""
"2008","Slovenia","Less than 25 years","Percentage of total population","Total","4.5",""
"2008","Slovenia","Less than 25 years","Percentage of active population","Total","10.4",""
"2008","Slovakia","Total","Thousand persons","Total","254",""
"2008","Slovakia","Total","Percentage of total population","Total","6.0",""
"2008","Slovakia","Total","Percentage of active population","Total","9.6",""
"2008","Slovakia","Less than 25 years","Thousand persons","Total","51",""
"2008","Slovakia","Less than 25 years","Percentage of total population","Total","6.2",""
"2008","Slovakia","Less than 25 years","Percentage of active population","Total","19.3",""
"2008","Finland","Total","Thousand persons","Total","172",""
"2008","Finland","Total","Percentage of total population","Total","4.3",""
"2008","Finland","Total","Percentage of active population","Total","6.4",""
"2008","Finland","Less than 25 years","Thousand persons","Total","56",""
"2008","Finland","Less than 25 years","Percentage of total population","Total","8.8",""
"2008","Finland","Less than 25 years","Percentage of active population","Total","16.5",""
"2008","Sweden","Total","Thousand persons","Total","305",""
"2008","Sweden","Total","Percentage of total population","Total","4.4",""
"2008","Sweden","Total","Percentage of active population","Total","6.2",""
"2008","Sweden","Less than 25 years","Thousand persons","Total","128",""
"2008","Sweden","Less than 25 years","Percentage of total population","Total","10.7",""
"2008","Sweden","Less than 25 years","Percentage of active population","Total","20.2",""
"2008","United Kingdom","Total","Thousand persons","Total","1,757",""
"2008","United Kingdom","Total","Percentage of total population","Total","3.9",""
"2008","United Kingdom","Total","Percentage of active population","Total","5.6",""
"2008","United Kingdom","Less than 25 years","Thousand persons","Total","712",""
"2008","United Kingdom","Less than 25 years","Percentage of total population","Total","9.2",""
"2008","United Kingdom","Less than 25 years","Percentage of active population","Total","15.0",""
"2008","Iceland","Total","Thousand persons","Total","6",""
"2008","Iceland","Total","Percentage of total population","Total","2.4",""
"2008","Iceland","Total","Percentage of active population","Total","3.0",""
"2008","Iceland","Less than 25 years","Thousand persons","Total","3",""
"2008","Iceland","Less than 25 years","Percentage of total population","Total","6.4",""
"2008","Iceland","Less than 25 years","Percentage of active population","Total","8.2",""
"2008","Norway","Total","Thousand persons","Total","66",""
"2008","Norway","Total","Percentage of total population","Total","1.9",""
"2008","Norway","Total","Percentage of active population","Total","2.5",""
"2008","Norway","Less than 25 years","Thousand persons","Total","27",""
"2008","Norway","Less than 25 years","Percentage of total population","Total","4.6",""
"2008","Norway","Less than 25 years","Percentage of active population","Total","7.3",""
"2008","Turkey","Total","Thousand persons","Total","2,293",""
"2008","Turkey","Total","Percentage of total population","Total","4.7",""
"2008","Turkey","Total","Percentage of active population","Total","10.0",""
"2008","Turkey","Less than 25 years","Thousand persons","Total","783",""
"2008","Turkey","Less than 25 years","Percentage of total population","Total","6.9",""
"2008","Turkey","Less than 25 years","Percentage of active population","Total","18.5",""
"2008","United States","Total","Thousand persons","Total","8,924",""
"2008","United States","Total","Percentage of total population","Total",":",""
"2008","United States","Total","Percentage of active population","Total","5.8",""
"2008","United States","Less than 25 years","Thousand persons","Total","2,830",""
"2008","United States","Less than 25 years","Percentage of total population","Total",":",""
"2008","United States","Less than 25 years","Percentage of active population","Total","12.8",""
"2008","Japan","Total","Thousand persons","Total","2,658",""
"2008","Japan","Total","Percentage of total population","Total",":",""
"2008","Japan","Total","Percentage of active population","Total","4.0",""
"2008","Japan","Less than 25 years","Thousand persons","Total","432",""
"2008","Japan","Less than 25 years","Percentage of total population","Total",":",""
"2008","Japan","Less than 25 years","Percentage of active population","Total","7.3",""
"2009","European Union (28 countries)","Total","Thousand persons","Total","21,358",""
"2009","European Union (28 countries)","Total","Percentage of total population","Total","5.6",""
"2009","European Union (28 countries)","Total","Percentage of active population","Total","9.0",""
"2009","European Union (28 countries)","Less than 25 years","Thousand persons","Total","5,226",""
"2009","European Union (28 countries)","Less than 25 years","Percentage of total population","Total","8.7",""
"2009","European Union (28 countries)","Less than 25 years","Percentage of active population","Total","20.3",""
"2009","European Union (27 countries)","Total","Thousand persons","Total","21,180",""
"2009","European Union (27 countries)","Total","Percentage of total population","Total","5.6",""
"2009","European Union (27 countries)","Total","Percentage of active population","Total","9.0",""
"2009","European Union (27 countries)","Less than 25 years","Thousand persons","Total","5,178",""
"2009","European Union (27 countries)","Less than 25 years","Percentage of total population","Total","8.7",""
"2009","European Union (27 countries)","Less than 25 years","Percentage of active population","Total","20.2",""
"2009","European Union (25 countries)","Total","Thousand persons","Total","20,316",""
"2009","European Union (25 countries)","Total","Percentage of total population","Total","5.7",""
"2009","European Union (25 countries)","Total","Percentage of active population","Total","9.1",""
"2009","European Union (25 countries)","Less than 25 years","Thousand persons","Total","4,964",""
"2009","European Union (25 countries)","Less than 25 years","Percentage of total population","Total","8.9",""
"2009","European Union (25 countries)","Less than 25 years","Percentage of active population","Total","20.3",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","14,736",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total","5.9",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","9.5",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Thousand persons","Total","3,262",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of total population","Total","8.7",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of active population","Total","20.5",""
"2009","Euro area (19 countries)","Total","Thousand persons","Total","15,233",""
"2009","Euro area (19 countries)","Total","Percentage of total population","Total","6.0",""
"2009","Euro area (19 countries)","Total","Percentage of active population","Total","9.6",""
"2009","Euro area (19 countries)","Less than 25 years","Thousand persons","Total","3,367",""
"2009","Euro area (19 countries)","Less than 25 years","Percentage of total population","Total","8.7",""
"2009","Euro area (19 countries)","Less than 25 years","Percentage of active population","Total","20.7",""
"2009","Euro area (18 countries)","Total","Thousand persons","Total","15,022",""
"2009","Euro area (18 countries)","Total","Percentage of total population","Total","6.0",""
"2009","Euro area (18 countries)","Total","Percentage of active population","Total","9.6",""
"2009","Euro area (18 countries)","Less than 25 years","Thousand persons","Total","3,326",""
"2009","Euro area (18 countries)","Less than 25 years","Percentage of total population","Total","8.7",""
"2009","Euro area (18 countries)","Less than 25 years","Percentage of active population","Total","20.6",""
"2009","Belgium","Total","Thousand persons","Total","380",""
"2009","Belgium","Total","Percentage of total population","Total","4.7",""
"2009","Belgium","Total","Percentage of active population","Total","7.9",""
"2009","Belgium","Less than 25 years","Thousand persons","Total","93",""
"2009","Belgium","Less than 25 years","Percentage of total population","Total","7.1",""
"2009","Belgium","Less than 25 years","Percentage of active population","Total","21.9",""
"2009","Bulgaria","Total","Thousand persons","Total","240",""
"2009","Bulgaria","Total","Percentage of total population","Total","4.0",""
"2009","Bulgaria","Total","Percentage of active population","Total","6.8",""
"2009","Bulgaria","Less than 25 years","Thousand persons","Total","45",""
"2009","Bulgaria","Less than 25 years","Percentage of total population","Total","4.6",""
"2009","Bulgaria","Less than 25 years","Percentage of active population","Total","15.1",""
"2009","Czech Republic","Total","Thousand persons","Total","352",""
"2009","Czech Republic","Total","Percentage of total population","Total","4.2",""
"2009","Czech Republic","Total","Percentage of active population","Total","6.7",""
"2009","Czech Republic","Less than 25 years","Thousand persons","Total","71",""
"2009","Czech Republic","Less than 25 years","Percentage of total population","Total","5.3",""
"2009","Czech Republic","Less than 25 years","Percentage of active population","Total","16.6",""
"2009","Denmark","Total","Thousand persons","Total","177",""
"2009","Denmark","Total","Percentage of total population","Total","4.3",""
"2009","Denmark","Total","Percentage of active population","Total","6.0",""
"2009","Denmark","Less than 25 years","Thousand persons","Total","55",""
"2009","Denmark","Less than 25 years","Percentage of total population","Total","8.4",""
"2009","Denmark","Less than 25 years","Percentage of active population","Total","11.8",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,098",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","5.1",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.6",""
"2009","Germany (until 1990 former territory of the FRG)","Less than 25 years","Thousand persons","Total","511",""
"2009","Germany (until 1990 former territory of the FRG)","Less than 25 years","Percentage of total population","Total","5.8",""
"2009","Germany (until 1990 former territory of the FRG)","Less than 25 years","Percentage of active population","Total","11.1",""
"2009","Estonia","Total","Thousand persons","Total","93",""
"2009","Estonia","Total","Percentage of total population","Total","9.0",""
"2009","Estonia","Total","Percentage of active population","Total","13.5",""
"2009","Estonia","Less than 25 years","Thousand persons","Total","20",""
"2009","Estonia","Less than 25 years","Percentage of total population","Total","10.7",""
"2009","Estonia","Less than 25 years","Percentage of active population","Total","27.4",""
"2009","Ireland","Total","Thousand persons","Total","268",""
"2009","Ireland","Total","Percentage of total population","Total","7.9",""
"2009","Ireland","Total","Percentage of active population","Total","12.0",""
"2009","Ireland","Less than 25 years","Thousand persons","Total","75",""
"2009","Ireland","Less than 25 years","Percentage of total population","Total","11.7",""
"2009","Ireland","Less than 25 years","Percentage of active population","Total","24.0",""
"2009","Greece","Total","Thousand persons","Total","485",""
"2009","Greece","Total","Percentage of total population","Total","5.7",""
"2009","Greece","Total","Percentage of active population","Total","9.6",""
"2009","Greece","Less than 25 years","Thousand persons","Total","95",""
"2009","Greece","Less than 25 years","Percentage of total population","Total","7.9",""
"2009","Greece","Less than 25 years","Percentage of active population","Total","25.7",""
"2009","Spain","Total","Thousand persons","Total","4,154",""
"2009","Spain","Total","Percentage of total population","Total","11.7",""
"2009","Spain","Total","Percentage of active population","Total","17.9",""
"2009","Spain","Less than 25 years","Thousand persons","Total","847",""
"2009","Spain","Less than 25 years","Percentage of total population","Total","17.0",""
"2009","Spain","Less than 25 years","Percentage of active population","Total","37.7",""
"2009","France","Total","Thousand persons","Total","2,622",""
"2009","France","Total","Percentage of total population","Total","5.5",""
"2009","France","Total","Percentage of active population","Total","9.1",""
"2009","France","Less than 25 years","Thousand persons","Total","711",""
"2009","France","Less than 25 years","Percentage of total population","Total","9.1",""
"2009","France","Less than 25 years","Percentage of active population","Total","23.6",""
"2009","Croatia","Total","Thousand persons","Total","178",""
"2009","Croatia","Total","Percentage of total population","Total","5.4",""
"2009","Croatia","Total","Percentage of active population","Total","9.2",""
"2009","Croatia","Less than 25 years","Thousand persons","Total","47",""
"2009","Croatia","Less than 25 years","Percentage of total population","Total","9.2",""
"2009","Croatia","Less than 25 years","Percentage of active population","Total","25.2",""
"2009","Italy","Total","Thousand persons","Total","1,907",""
"2009","Italy","Total","Percentage of total population","Total","4.2",""
"2009","Italy","Total","Percentage of active population","Total","7.7",""
"2009","Italy","Less than 25 years","Thousand persons","Total","437",""
"2009","Italy","Less than 25 years","Percentage of total population","Total","7.3",""
"2009","Italy","Less than 25 years","Percentage of active population","Total","25.3",""
"2009","Cyprus","Total","Thousand persons","Total","22",""
"2009","Cyprus","Total","Percentage of total population","Total","3.6",""
"2009","Cyprus","Total","Percentage of active population","Total","5.4",""
"2009","Cyprus","Less than 25 years","Thousand persons","Total","6",""
"2009","Cyprus","Less than 25 years","Percentage of total population","Total","5.6",""
"2009","Cyprus","Less than 25 years","Percentage of active population","Total","13.8",""
"2009","Latvia","Total","Thousand persons","Total","193",""
"2009","Latvia","Total","Percentage of total population","Total","11.5",""
"2009","Latvia","Total","Percentage of active population","Total","17.5",""
"2009","Latvia","Less than 25 years","Thousand persons","Total","44",""
"2009","Latvia","Less than 25 years","Percentage of total population","Total","13.7",""
"2009","Latvia","Less than 25 years","Percentage of active population","Total","33.3",""
"2009","Lithuania","Total","Thousand persons","Total","211",""
"2009","Lithuania","Total","Percentage of total population","Total","8.6",""
"2009","Lithuania","Total","Percentage of active population","Total","13.8",""
"2009","Lithuania","Less than 25 years","Thousand persons","Total","41",""
"2009","Lithuania","Less than 25 years","Percentage of total population","Total","8.7",""
"2009","Lithuania","Less than 25 years","Percentage of active population","Total","29.6",""
"2009","Luxembourg","Total","Thousand persons","Total","12",""
"2009","Luxembourg","Total","Percentage of total population","Total","3.1",""
"2009","Luxembourg","Total","Percentage of active population","Total","5.1",""
"2009","Luxembourg","Less than 25 years","Thousand persons","Total","3",""
"2009","Luxembourg","Less than 25 years","Percentage of total population","Total","5.5",""
"2009","Luxembourg","Less than 25 years","Percentage of active population","Total","16.5",""
"2009","Hungary","Total","Thousand persons","Total","418",""
"2009","Hungary","Total","Percentage of total population","Total","5.4",""
"2009","Hungary","Total","Percentage of active population","Total","10.0",""
"2009","Hungary","Less than 25 years","Thousand persons","Total","79",""
"2009","Hungary","Less than 25 years","Percentage of total population","Total","6.5",""
"2009","Hungary","Less than 25 years","Percentage of active population","Total","26.4",""
"2009","Malta","Total","Thousand persons","Total","12",""
"2009","Malta","Total","Percentage of total population","Total","3.7",""
"2009","Malta","Total","Percentage of active population","Total","6.9",""
"2009","Malta","Less than 25 years","Thousand persons","Total","4",""
"2009","Malta","Less than 25 years","Percentage of total population","Total","7.5",""
"2009","Malta","Less than 25 years","Percentage of active population","Total","14.5",""
"2009","Netherlands","Total","Thousand persons","Total","381",""
"2009","Netherlands","Total","Percentage of total population","Total","2.5",""
"2009","Netherlands","Total","Percentage of active population","Total","4.4",""
"2009","Netherlands","Less than 25 years","Thousand persons","Total","143",""
"2009","Netherlands","Less than 25 years","Percentage of total population","Total","4.8",""
"2009","Netherlands","Less than 25 years","Percentage of active population","Total","10.2",""
"2009","Austria","Total","Thousand persons","Total","223",""
"2009","Austria","Total","Percentage of total population","Total","3.5",""
"2009","Austria","Total","Percentage of active population","Total","5.3",""
"2009","Austria","Less than 25 years","Thousand persons","Total","63",""
"2009","Austria","Less than 25 years","Percentage of total population","Total","6.4",""
"2009","Austria","Less than 25 years","Percentage of active population","Total","10.7",""
"2009","Poland","Total","Thousand persons","Total","1,359","i"
"2009","Poland","Total","Percentage of total population","Total","4.8","i"
"2009","Poland","Total","Percentage of active population","Total","8.1","i"
"2009","Poland","Less than 25 years","Thousand persons","Total","358","i"
"2009","Poland","Less than 25 years","Percentage of total population","Total","6.9","i"
"2009","Poland","Less than 25 years","Percentage of active population","Total","20.6","i"
"2009","Portugal","Total","Thousand persons","Total","574",""
"2009","Portugal","Total","Percentage of total population","Total","7.0",""
"2009","Portugal","Total","Percentage of active population","Total","10.7",""
"2009","Portugal","Less than 25 years","Thousand persons","Total","125",""
"2009","Portugal","Less than 25 years","Percentage of total population","Total","9.9",""
"2009","Portugal","Less than 25 years","Percentage of active population","Total","25.3",""
"2009","Romania","Total","Thousand persons","Total","624",""
"2009","Romania","Total","Percentage of total population","Total","4.0",""
"2009","Romania","Total","Percentage of active population","Total","6.5",""
"2009","Romania","Less than 25 years","Thousand persons","Total","170",""
"2009","Romania","Less than 25 years","Percentage of total population","Total","6.4",""
"2009","Romania","Less than 25 years","Percentage of active population","Total","20.0",""
"2009","Slovenia","Total","Thousand persons","Total","61",""
"2009","Slovenia","Total","Percentage of total population","Total","3.8",""
"2009","Slovenia","Total","Percentage of active population","Total","5.9",""
"2009","Slovenia","Less than 25 years","Thousand persons","Total","14",""
"2009","Slovenia","Less than 25 years","Percentage of total population","Total","5.6",""
"2009","Slovenia","Less than 25 years","Percentage of active population","Total","13.6",""
"2009","Slovakia","Total","Thousand persons","Total","321",""
"2009","Slovakia","Total","Percentage of total population","Total","7.6",""
"2009","Slovakia","Total","Percentage of active population","Total","12.1",""
"2009","Slovakia","Less than 25 years","Thousand persons","Total","70",""
"2009","Slovakia","Less than 25 years","Percentage of total population","Total","8.6",""
"2009","Slovakia","Less than 25 years","Percentage of active population","Total","27.6",""
"2009","Finland","Total","Thousand persons","Total","221",""
"2009","Finland","Total","Percentage of total population","Total","5.5",""
"2009","Finland","Total","Percentage of active population","Total","8.2",""
"2009","Finland","Less than 25 years","Thousand persons","Total","69",""
"2009","Finland","Less than 25 years","Percentage of total population","Total","10.9",""
"2009","Finland","Less than 25 years","Percentage of active population","Total","21.5",""
"2009","Sweden","Total","Thousand persons","Total","408",""
"2009","Sweden","Total","Percentage of total population","Total","5.9",""
"2009","Sweden","Total","Percentage of active population","Total","8.3",""
"2009","Sweden","Less than 25 years","Thousand persons","Total","156",""
"2009","Sweden","Less than 25 years","Percentage of total population","Total","12.8",""
"2009","Sweden","Less than 25 years","Percentage of active population","Total","25.0",""
"2009","United Kingdom","Total","Thousand persons","Total","2,369",""
"2009","United Kingdom","Total","Percentage of total population","Total","5.2",""
"2009","United Kingdom","Total","Percentage of active population","Total","7.6",""
"2009","United Kingdom","Less than 25 years","Thousand persons","Total","878",""
"2009","United Kingdom","Less than 25 years","Percentage of total population","Total","11.3",""
"2009","United Kingdom","Less than 25 years","Percentage of active population","Total","19.1",""
"2009","Iceland","Total","Thousand persons","Total","13",""
"2009","Iceland","Total","Percentage of total population","Total","5.8",""
"2009","Iceland","Total","Percentage of active population","Total","7.2",""
"2009","Iceland","Less than 25 years","Thousand persons","Total","5",""
"2009","Iceland","Less than 25 years","Percentage of total population","Total","11.6",""
"2009","Iceland","Less than 25 years","Percentage of active population","Total","16.0",""
"2009","Norway","Total","Thousand persons","Total","82",""
"2009","Norway","Total","Percentage of total population","Total","2.3",""
"2009","Norway","Total","Percentage of active population","Total","3.2",""
"2009","Norway","Less than 25 years","Thousand persons","Total","33",""
"2009","Norway","Less than 25 years","Percentage of total population","Total","5.3",""
"2009","Norway","Less than 25 years","Percentage of active population","Total","9.2",""
"2009","Turkey","Total","Thousand persons","Total","3,089",""
"2009","Turkey","Total","Percentage of total population","Total","6.1",""
"2009","Turkey","Total","Percentage of active population","Total","13.0",""
"2009","Turkey","Less than 25 years","Thousand persons","Total","975",""
"2009","Turkey","Less than 25 years","Percentage of total population","Total","8.5",""
"2009","Turkey","Less than 25 years","Percentage of active population","Total","22.8",""
"2009","United States","Total","Thousand persons","Total","14,264",""
"2009","United States","Total","Percentage of total population","Total",":",""
"2009","United States","Total","Percentage of active population","Total","9.3",""
"2009","United States","Less than 25 years","Thousand persons","Total","3,760",""
"2009","United States","Less than 25 years","Percentage of total population","Total",":",""
"2009","United States","Less than 25 years","Percentage of active population","Total","17.6",""
"2009","Japan","Total","Thousand persons","Total","3,367",""
"2009","Japan","Total","Percentage of total population","Total",":",""
"2009","Japan","Total","Percentage of active population","Total","5.1",""
"2009","Japan","Less than 25 years","Thousand persons","Total","523",""
"2009","Japan","Less than 25 years","Percentage of total population","Total",":",""
"2009","Japan","Less than 25 years","Percentage of active population","Total","9.3",""
"2010","European Union (28 countries)","Total","Thousand persons","Total","22,987",""
"2010","European Union (28 countries)","Total","Percentage of total population","Total","6.0",""
"2010","European Union (28 countries)","Total","Percentage of active population","Total","9.6",""
"2010","European Union (28 countries)","Less than 25 years","Thousand persons","Total","5,345",""
"2010","European Union (28 countries)","Less than 25 years","Percentage of total population","Total","9.1",""
"2010","European Union (28 countries)","Less than 25 years","Percentage of active population","Total","21.4",""
"2010","European Union (27 countries)","Total","Thousand persons","Total","22,765",""
"2010","European Union (27 countries)","Total","Percentage of total population","Total","6.0",""
"2010","European Union (27 countries)","Total","Percentage of active population","Total","9.6",""
"2010","European Union (27 countries)","Less than 25 years","Thousand persons","Total","5,286",""
"2010","European Union (27 countries)","Less than 25 years","Percentage of total population","Total","9.0",""
"2010","European Union (27 countries)","Less than 25 years","Percentage of active population","Total","21.3",""
"2010","European Union (25 countries)","Total","Thousand persons","Total","21,761",""
"2010","European Union (25 countries)","Total","Percentage of total population","Total","6.1",""
"2010","European Union (25 countries)","Total","Percentage of active population","Total","9.7",""
"2010","European Union (25 countries)","Less than 25 years","Thousand persons","Total","5,051",""
"2010","European Union (25 countries)","Less than 25 years","Percentage of total population","Total","9.2",""
"2010","European Union (25 countries)","Less than 25 years","Percentage of active population","Total","21.3",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","15,565",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total","6.3",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","10.0",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Thousand persons","Total","3,249",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of total population","Total","8.8",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of active population","Total","21.1",""
"2010","Euro area (19 countries)","Total","Thousand persons","Total","16,156",""
"2010","Euro area (19 countries)","Total","Percentage of total population","Total","6.4",""
"2010","Euro area (19 countries)","Total","Percentage of active population","Total","10.2",""
"2010","Euro area (19 countries)","Less than 25 years","Thousand persons","Total","3,360",""
"2010","Euro area (19 countries)","Less than 25 years","Percentage of total population","Total","8.9",""
"2010","Euro area (19 countries)","Less than 25 years","Percentage of active population","Total","21.4",""
"2010","Euro area (18 countries)","Total","Thousand persons","Total","15,885",""
"2010","Euro area (18 countries)","Total","Percentage of total population","Total","6.3",""
"2010","Euro area (18 countries)","Total","Percentage of active population","Total","10.1",""
"2010","Euro area (18 countries)","Less than 25 years","Thousand persons","Total","3,313",""
"2010","Euro area (18 countries)","Less than 25 years","Percentage of total population","Total","8.9",""
"2010","Euro area (18 countries)","Less than 25 years","Percentage of active population","Total","21.3",""
"2010","Belgium","Total","Thousand persons","Total","406",""
"2010","Belgium","Total","Percentage of total population","Total","5.0",""
"2010","Belgium","Total","Percentage of active population","Total","8.3",""
